_id	x	y	senses
time/NN/Encow_sample_33124/5	14.3956	20.1164	time_7
time/NNS/Encow_sample_26097/62	-11.6385	-10.9354	time_3
time/NN/Encow_sample_11830/7	-4.9123	-3.1022	time_3
time/NNS/Encow_sample_30874/6	12.7626	-14.8775	time_3
time/NN/Encow_sample_20278/55	6.9594	1.1531	time_3
time/NN/Encow_sample_3400/19	-29.0418	-16.1119	time_3
time/NN/Encow_sample_29777/52	17.358	12.5451	time_3
time/NN/Encow_sample_26681/60	0.0	0.0	time_1
time/NN/Encow_sample_15844/18	-34.6666	-13.8155	time_1
time/NN/Encow_sample_25820/19	26.8873	19.6605	time_2
time/NN/Encow_sample_2425/14	13.8478	18.2788	time_2
time/NN/Encow_sample_5900/30	-23.451	9.9071	time_1
time/NN/Encow_sample_23468/9	1.6167	-22.0313	time_1
time/NN/Encow_sample_16224/43	15.4014	30.8396	time_1
time/NN/Encow_sample_31923/49	4.8452	17.3735	time_2
time/NN/Encow_sample_19708/37	-4.684	-16.8665	time_1
time/NN/Encow_sample_5446/62	-12.6793	-27.6236	time_1
time/NN/Encow_sample_14321/4	21.9439	7.2634	time_1
time/NN/Encow_sample_13911/71	-18.8362	9.4866	time_2
time/NN/Encow_sample_25504/13	5.9432	13.3335	time_1
time/NN/Encow_sample_19744/18	-20.1381	22.6214	time_1
time/NN/Encow_sample_18598/10	14.4827	11.5067	time_1
time/NN/Encow_sample_28557/54	12.5246	14.0485	time_2
time/NN/Encow_sample_13027/42	14.8969	8.0757	time_4
time/NN/Encow_sample_7376/54	13.6838	13.2388	time_2
time/NN/Encow_sample_10833/83	16.3904	19.0389	time_1
time/NNS/Encow_sample_19279/42	0.3046	-10.6017	time_8
time/NN/Encow_sample_31186/80	25.7154	11.3751	time_2
time/NN/Encow_sample_13009/41	9.8045	9.1513	time_2
time/NN/Encow_sample_25559/21	5.0441	-13.7365	time_1
time/NN/Encow_sample_31923/84	-13.6341	-28.4872	time_1
time/NN/Encow_sample_29524/10	20.5275	25.5543	time_1
time/NN/Encow_sample_23889/74	-16.6673	8.3125	time_2
time/NN/Encow_sample_9868/51	2.8902	12.5472	time_1
time/NN/Encow_sample_23522/15	-21.066	22.157	time_3
time/NN/Encow_sample_3763/29	-1.3028	-24.0212	time_1
time/NN/Encow_sample_9801/61	12.6327	-6.5091	time_8
time/NN/Encow_sample_22232/40	-6.3081	-3.6857	time_2
time/NN/Encow_sample_15714/8	5.0333	8.5938	time_2
time/NNS/Encow_sample_22534/25	13.0597	-13.3063	time_4
time/NN/Encow_sample_16283/8	6.2902	17.3791	time_8
time/NN/Encow_sample_27616/24	-33.1294	-18.7069	time_1
time/NN/Encow_sample_10232/58	-30.591	-18.7255	time_3
